,time,consent,age,gender,pronouns,ethnicity,religion,political_affil,education,degree_name,income,disability,disability_name,cert_license,time_in_bx_anal,time_cert_license,country_live,province_live,state_live,country_practice,province_practice,state_practice,define_diversity,familiar_cis_fem,familiar_cis_male,familiar_trans_fem,familiar_trans_male,familiar_non_binary,familiar_gender_fluid,familiar_gender_neutral,familiar_asian,familiar_black,familiar_white,familiar_latinx,familiar_nat_amer,familiar_pac_isl,familiar_agnostic,familiar_amish,familiar_buddhism,familiar_christian,familiar_hinduism,familiar_islam,familiar_jehovah,familiar_judaism,familiar_atheist,familiar_paganism,familiar_wiccan,actions_recommend,survey_feedback,browser,ip_address,unique_id,location
10,10/21/20 15:34,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Demand ,She/her/hers,I identify  in the human race.,I am Christian.,I am an independent voter.,Master's degree,,"$100,000 to $149,999",No,,Other: Special education teacher ,11-15 years,0-5 years,United States,,New York,United States,,New York,,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Not at all familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,,,Mobile Safari 13.1.2 / iOS,172.58.229.82,682532639,"40.703498840332, -73.923500061035"
11,10/21/20 15:58,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",46-60,Female,Other: ,,Atheist,,Master's degree,,Prefer not to say,Yes,,,6-10 years,16-20 years,United States,,New York,United States,,,"Including individuals from all walks of life, rather than belonging to one dominant group, as defined by  race, culture, religion, sexual orientation, gender, socioeconomic upbringing, or disability.",Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat unfamiliar,Not at all familiar,"Stop talking about it and simply evaluate individuals based on their education, intelligence, and comprehension of diversity and inclusion...and start focusing on people as individuals, rather than on one unidimensional quality.","Perhaps provide some insight as to what your hypothesis is, and what you hope to achieve in obtaining this information.",Chrome 86.0.4240.75 / Windows,68.173.1.138,682543989,"40.75170135498, -73.997200012207"
12,10/21/20 16:07,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,White,Jewish,,Master's degree,,"$200,000 to $249,999",No,,,,,United States,,,,,,,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,,,,,,,,,,,,,,,,,,,,Mobile Safari 13.1.2 / iOS,173.68.28.201,682548389,"40.714298248291, -74.005996704102"
13,10/21/20 16:18,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",46-60,,Other: Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Safari 13.1.2 / iOS,173.68.29.41,682553719,"40.714298248291, -74.005996704102"
14,10/21/20 16:59,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",,Female,She/her/hers,Asian,Islam,Democratic,Master's degree,,"$50,000 to $74,999",No,,,6-10 years,6-10 years,United States,,New York,,,,"It is  understanding that each individual is unique, and recognizing our individual differences",Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat unfamiliar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,,,Chrome 86.0.4240.75 / Windows,100.12.186.139,682574104,"40.735401153564, -73.878303527832"
15,10/21/20 18:19,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",61-75,M,He/him/his,Caucasian,Jewish,,Master's degree,,"$50,000 to $74,999",No,,Other: Special Ed Teacher,0-5 years,0-5 years,United States,,,Other: I am not a behavior analyst/,,,,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,,,Chrome 86.0.4240.75 / Windows,72.226.8.37,682605727,"40.748199462891, -73.906799316406"
16,10/21/20 19:11,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,Swedish and Irish/white,nondenominational Christian,None,Master's degree,,"$75,000 to $99,999",No,,Board Certified Behavior Analyst,21-25 years,16-20 years,United States,,,United States,,,,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,,,Chrome 86.0.4240.80 / Windows,174.57.8.94,682622500,"39.994300842285, -74.791801452637"
17,10/21/20 19:23,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,female,She/her/hers,korean/asian american,christianity ,democrat,Master's degree,,"$200,000 to $249,999",No,,"Board Certified Behavior Analyst
Licensed Behavior Analyst",11-15 years,0-5 years,United States,,NY,United States,,NY,"Diversity to me means the 'inclusion of everyone and all.' It includes all types of identifications of gender and sex, ethnicity and race, and disabilities. Everyone has a seat at the table. ",Not at all familiar,Not at all familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Emphasize the reason for diversity specifically in this field through articles and social media. ,,Chrome 86.0.4240.75 / Windows,74.71.238.28,682625702,"40.800598144531, -73.965301513672"
18,10/21/20 19:27,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",18-30,female,She/her/hers,"Hispanic,afircan american",catholic ,,Bachelor's degree,,Prefer not to say,No,,,0-5 years,0-5 years,United States,,,United States,,,,Not at all familiar,Not at all familiar,Somewhat familiar,Somewhat familiar,,Not at all familiar,,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,,,Firefox 78.0 / Windows 8.1,24.193.183.20,682626873,"40.820301055908, -73.987098693848"
19,10/21/20 19:47,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,White,"Atheist, Judaism",Democrat,Master's degree,,"$200,000 to $249,999",No,,"Board Certified Behavior Analyst
Licensed Behavior Analyst",11-15 years,6-10 years,United States,,Connecticut,United States,,Connecticut,"Diversity is the inclusion of people from varied groups including racial, ethnic, religious, political, and gender groups. ",Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Not at all familiar,"Better training in culturally sensitive service provision, focus on funding ABA programs in areas with lower socioeconomic status.",,Chrome 86.0.4240.111 / Windows,24.151.15.34,682632693,"41.341800689697, -73.23169708252"
20,10/21/20 20:03,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",18-30,Female,They/theirs,white,none,democratic,Master's degree,,"$50,000 to $74,999",Yes,"Rare genetic muscle disease, periodic paralysis (use a cane)","Board Certified Behavior Analyst
Licensed Behavior Analyst
Other: Level 2 Utah Educator Liscense",0-5 years,0-5 years,United States,,Utah,United States,,Utah,"Diversity includes a group of people with varying backgrounds, personalities, and life experiences who exist peacefully together in the same community where they are safe and fully accepted by all. ",Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Very familiar,Somewhat unfamiliar,Somewhat familiar,Somewhat unfamiliar,Somewhat unfamiliar,Very familiar,Somewhat unfamiliar,Not at all familiar,"1. Include disabled and neurodivergent populations in leadership and employment positions
2. Consider the client base we serve as more partners in developing treatment plans
3. Be aware of intersectionality and how that affects a clients treatment (i.e. neurodivergent and bisexual)
4. Advocate for ABA treatment that respects client boundaries while still maintaining compliance",Include sexual orientation,Chrome 86.0.4240.75 / Windows,98.32.78.149,682637506,"37.750999450684, -97.821998596191"
21,10/21/20 20:26,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",18-30,Female,She/her/hers,Caucasian ,Jewish,Democrat,Master's degree,,"$100,000 to $149,999",Yes,Anxiety,Other: Early Childhood Special Education Teacher,0-5 years,0-5 years,United States,,New York,United States,,New York,Diversity is when all people are treated based on their character rather than their demographic characteristics. Diversity is when people of various backgrounds can live together peacefully. ,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat unfamiliar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat unfamiliar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Not at all familiar,Not at all familiar,We should try to consider human behavior through a cultural realm and implement culturally meaningful interventions. We should try to recruit people with more diverse backgrounds into the field of ABA. We should make sure that our assessment methods are not culturally biased. ,"Maybe you can include disability cultures in the survey as well, such as deaf culture and autism culture. ",Safari 14.0 / OS X,47.17.219.3,682644060,"40.85290145874, -73.913902282715"
22,10/21/20 20:35,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female ,She/her/hers,White,Muslim,None ,Master's degree,,"$50,000 to $74,999",No,,Board Certified Behavior Analyst,0-5 years,0-5 years,United States,,PA,United States,,PA,"Understanding each individual is unique and there are individual differences such as ethnicity, religion, economic status, sexual orientation, and/or politics. ",Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat unfamiliar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat unfamiliar,Somewhat familiar,Somewhat familiar,Somewhat unfamiliar,Somewhat familiar,Somewhat familiar,Very familiar,Not at all familiar,Somewhat familiar,Somewhat familiar,Not at all familiar,Not at all familiar,Open discussions about our differences and learning how to engage in active listening. ,Such a great topic!! Thank you!! ,Mobile Safari 13.1.2 / iOS,64.121.120.210,682646327,"40.590198516846, -75.354698181152"
23,10/21/20 20:38,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Male ,He/him/his,Caucasian,,Democrat,Master's degree,,"$200,000 to $249,999",No,,Board Certified Behavior Analyst,6-10 years,6-10 years,United States,,California,United States,,California,Diversity is define as a variety of race/culture/ethnic/fill in the demographic/values/thoughts that are encompassed within a specific environment. ,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Increasing diversity at the level of recruit technicians to BCBAs,,Mobile Safari / iOS,74.199.85.215,682647137,"42.505298614502, -83.105201721191"
24,10/21/20 21:27,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female ,She/her/hers,White,Christian,Republican,Doctoral degree,,"$300,000 or above",No,,"Board Certified Behavior Analyst-Doctoral
Licensed Behavior Analyst",16-20 years,6-10 years,United States,,New Jersey,United States,,New York,"Individual differences in life including race, religion, gender, political views, ethnicity, where you live etc. Diversity includes many different ways of viewing the worlds differences. ",Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat unfamiliar,Very familiar,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat familiar,Somewhat unfamiliar,Not at all familiar,Not at all familiar,Different cultures value different goals. Our field should learn about the goals of each culture we work with and develop goals to accommodate different families values. ,,Mobile Safari 13.1.2 / iOS,108.50.169.231,682659876,"40.762699127197, -74.420799255371"
25,10/22/20 1:23,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Male ,He/him/his,Latino,Satanism ,Democrat ,Doctoral degree,,"$200,000 to $249,999",No,,Board Certified Behavior Analyst-Doctoral,26+ years,11-15 years,United States,,,United States,,CA,"
It means understanding that each individual is unique, and recognizing our individual differences. These can be along the dimensions of race, ethnicity, gender, sexual orientation, socio-economic sta",Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Research on the topic. Talk is cheap. ,Satanism is not represented here. ,Mobile Safari / iOS,174.50.139.244,682706051,"38.784301757812, -121.37059783936"
26,10/22/20 1:47,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,Kenyan Indian,"Sikhism, Humanity",,Master's degree,,"$20,000 to $34,999",No,,Board Certified Behavior Analyst,11-15 years,6-10 years,Other: Kenya,,,"Other: Kenya, Tanzania",,,"As a visual thinker, I see diversity as a multi-dimensional rainbow... a wonderful mix of race, genders, ethnicities, SES, different thinking perspectives, ages and more. The view keeps evolving!",Somewhat unfamiliar,Somewhat unfamiliar,Somewhat familiar,Somewhat familiar,Somewhat unfamiliar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Very familiar,Somewhat familiar,Somewhat unfamiliar,We need to involve as many minority groups in our community and educating us about all we don't know/understand. Stigma comes from the unknown... so let's familiarize. Even talks to educate us on all the terms you have asked above would be enlightening! Hearing perspectives from people in those groups... even better. ,"A follow up document that includes information, definitions and highlights on all the groups you have asked us about... those of us who don't know can learn now. You would be getting information and giving information/educating those completing your survey at the same time. The follow-up links below are great too :)",Chrome 86.0.4240.75 / Windows,197.237.77.199,682709488,"1, 38"
